,numaffairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,affairs
1763,7,male,37,15,yes,3,20,6,4,yes
1766,3,male,22,1.5,no,2,12,3,3,yes
1772,3,male,32,4,yes,3,20,6,2,yes
1776,2,male,32,15,yes,5,20,6,5,yes
1782,12,female,52,15,yes,1,18,5,5,yes
1784,12,male,47,15,no,1,18,6,5,yes
1791,3,female,32,15,yes,4,16,4,4,yes
1831,7,female,32,15,yes,3,14,3,2,yes
1840,7,female,27,7,yes,4,16,1,2,yes
1844,12,male,42,15,yes,3,18,6,2,yes
1856,7,female,42,15,yes,2,14,3,2,yes
1876,12,male,27,7,yes,2,17,5,4,yes
1929,3,male,32,10,yes,4,14,4,3,yes
1935,7,male,47,15,yes,3,16,4,2,yes
1938,1,male,22,1.5,yes,1,12,2,5,yes
1941,7,female,32,10,yes,2,18,5,4,yes
1954,2,male,32,10,yes,2,17,6,5,yes
1959,2,male,22,7,yes,3,18,6,2,yes
